id_produto,id_pedido,id_cliente,ticket_id,data_abertura,data_resolucao,tempo_resolucao_horas,agente_suporte,nota_avaliacao,satisfacao_atendimento,tipo_problema_padronizado,status_ticket,sla_estourado,data_referencia_calculo,nome_cliente,maior_de_idade,nome_produto
PROD-0021,bd658e9e-b4f4-451f-8b92-5bc5d06bf2f1,30eddc25-33b4-48ae-98a6-0c10f006a6e6,6a593cf6-13ca-5b43-91f8-ab8559221889,2023-01-16T04:29:00.000Z,2023-01-22T16:29:00.000Z,92.0,Fernanda Lima,4,alta,Produto,Resolvido,false,2026-05-18,Prisco Monteiro,true,Projetor Full HD
PROD-0004,e2e6b5a8-c06d-4ed5-a6a3-d2865cc679d0,70e0eb97-e2bc-407b-9d3e-6c0bb1fc460b,86b942d6-f4d0-592c-8eaf-725fcd450ac5,2023-01-22T00:23:00.000Z,2023-01-27T22:23:00.000Z,64.0,Fernanda Lima,4,alta,Pagamento,Resolvido,false,2026-05-18,Igor Yunes,true,Notebook Intel Core i5
PROD-0243,8cbf5c49-ded5-4f5e-8c88-3051ef49611b,e00a2357-9371-4d7a-9bf6-a359510bbedf,772445ad-6873-5ac6-b6da-b1a826947232,2023-02-19T06:01:00.000Z,2023-02-22T14:01:00.000Z,27.4,Carlos Eduardo Silva,3,media,Pagamento,Resolvido,false,2026-05-18,Claudia Moreira,true,Bola de Pilates 65cm
PROD-0040,8cab27ac-afc7-44de-a03b-c8f588f6b737,62ac5257-9ceb-47bc-9989-aaeaf04136b6,3e20ca76-242d-5370-8dfc-eb6e76e6a9d9,2023-02-21T20:43:00.000Z,2023-03-02T17:43:00.000Z,50.5,Mariana Costa,4,alta,Reembolso,Resolvido,false,2026-05-18,Zelinda Maciel,true,Drone com Câmera
PROD-0037,742821d9-d9e3-4dc7-810f-28b4c6f1caf8,52449181-f9fc-43d5-9648-a61f2fd2a086,d4dca3c5-02f8-5862-bb5a-7bb721a4a17d,2023-02-26T01:08:00.000Z,2023-02-26T06:08:00.000Z,142.5,Aline Ribeiro,3,media,Entrega,Resolvido,false,2026-05-18,Thiago Serrano,true,Webcam Full HD
PROD-0054,2d7d9c7a-6eab-4c22-96ae-c2fc161d4790,7552350a-67b7-4ccc-92f6-aae8d0fa172c,34495d2b-e5c6-56cc-bd08-a7d1a6eb4bab,2023-02-19T10:58:00.000Z,2023-02-25T23:58:00.000Z,80.8,Bruno Rodrigues,5,alta,Produto,Resolvido,false,2026-05-18,Paula Oliveira,true,Microfone USB Condensador
PROD-0025,6eee0c65-7601-40f6-afe8-6cf52850be87,6ffd42a4-51fd-4e26-bfc9-8eaf93b1b8a8,767f3306-41c7-5412-87f4-d89d99b8459d,2023-02-10T13:07:00.000Z,2023-02-11T14:07:00.000Z,20.0,Juliana Santos,2,baixa,Entrega,Resolvido,false,2026-05-18,Roberta Serrano,true,Mouse Gamer
,4c870105-2d1e-4daf-86e6-f22f8c78cf2c,ee9e5bee-96c9-45ea-a7eb-663ff394393c,c1071cde-839d-50b5-800e-b4c2557d17ec,2023-02-21T16:34:00.000Z,2023-02-22T01:34:00.000Z,39.5,Mariana Costa,4,alta,Entrega,Resolvido,false,2026-05-18,Nathalia Amorim,true,
,bc08591c-09b9-483f-9155-967b50456468,9803ebbe-7098-4d98-b687-002ccbd3d569,5a20233e-8da3-5b5b-b4da-6993d703777f,2023-02-21T00:25:00.000Z,2023-03-02T07:25:00.000Z,60.0,Patricia Gomes,3,media,Reembolso,Resolvido,false,2026-05-18,Fabio Duarte,true,
PROD-0254,7a6c1b31-5f63-4860-bf9b-f348297d41d9,ce01f9f1-4c94-4657-8de7-a2b6cab99e46,bb516b30-cfd3-5201-8d27-d10f97ab9189,2023-02-08T03:57:00.000Z,2023-02-11T13:57:00.000Z,4.0,Ana Paula Ferreira,3,media,Pagamento,Resolvido,false,2026-05-18,Yasmin Drummond,true,Secador de Cabelo 2200W
PROD-0280,46ee0ff1-d53f-4549-8b07-244a3be678c8,86f9fd3c-72ed-461a-a138-3f25d96d0e77,7d6e0644-ad3c-5f52-8ba9-e893c75530c4,2023-02-23T02:15:00.000Z,2023-03-02T13:15:00.000Z,56.5,Mariana Costa,4,alta,Produto,Resolvido,false,2026-05-18,Cintia Tavares,true,Esponja Mágica de Maquiagem
PROD-0039,12c57a0e-fa78-4d99-9297-77f977fd4b29,dbb5595c-764f-451b-99c3-b4b0be6acc7e,289eb5e8-5a92-5234-aba5-3dbefb16f011,2023-02-02T21:53:00.000Z,2023-02-11T21:53:00.000Z,146.3,Thiago Alves,5,alta,Reembolso,Resolvido,false,2026-05-18,Paulo Silva,true,Roteador Wi-Fi
PROD-0040,6aa943ea-863a-4b32-9dca-c1207928a021,628fb299-cda6-44b9-a12c-ef766ab892f8,35f967bb-1cd7-57b7-a05c-570156e7ea06,2023-02-13T08:22:00.000Z,2023-02-15T22:22:00.000Z,84.0,Camila Nascimento,5,alta,Produto,Resolvido,false,2026-05-18,Igor Queiroz,true,Drone com Câmera
PROD-0015,b385daec-af79-4284-bea1-6a52d2d0df6c,859d7f08-b067-4b4b-8fcc-45bc468a514e,eae9072f-edb0-5779-8e20-4715fa7526c8,2023-02-01T00:52:00.000Z,,,Carlos Eduardo Silva,,sem_avaliacao,Produto,Aberto,true,2026-05-18,Rosa Lopes,true,Headset Gamer
PROD-0497,865aaf6c-9b70-4002-926b-c5d6876853d1,38037407-5f17-4f3f-b300-1b0902ca883e,c9fc5f2b-56fa-523a-8210-b963c189f164,2023-02-14T17:42:00.000Z,2023-02-16T18:42:00.000Z,60.0,Fernanda Lima,4,alta,Entrega,Resolvido,false,2026-05-18,Zelinda Quintanilha,true,Smartphone Pro Max 512GB
,e322b85e-301b-4591-abc3-9dc5e0ee77a8,72d41458-8f39-4d1c-b8d5-83774e30aed6,d683af50-e257-582b-b001-e5c1435c319d,2023-02-09T20:07:00.000Z,2023-02-14T17:07:00.000Z,164.0,Juliana Santos,4,alta,Produto,Resolvido,false,2026-05-18,Cesar Teixeira,true,
PROD-0001,6c3b562c-f8c3-4e3d-b151-8a4f9c5cd963,9882b337-3699-4364-b23a-0a3a8b6c8b3f,394ee318-f0d2-5b3d-9d09-0077ca5c4f70,2023-03-20T06:53:00.000Z,2023-03-23T13:53:00.000Z,54.5,Mariana Costa,5,alta,Entrega,Resolvido,false,2026-05-18,Edson Orozco,true,Smartphone 128GB
PROD-0037,1370b04d-a0c0-4a4e-9392-6739f57f00a2,3cd6efe7-a720-477d-95af-e06a1c90e477,82ec390a-e639-5041-8739-67f8d243568b,2023-03-23T00:32:00.000Z,2023-03-30T02:32:00.000Z,28.8,Camila Nascimento,5,alta,Entrega,Resolvido,false,2026-05-18,Daniela Souza,true,Webcam Full HD
PROD-0007,4bc132a1-ea25-4e44-9a20-28a7615a731b,af966cab-9b3f-4d51-9063-14cf8b63e7dc,80be28ec-6774-5313-8665-9bd1b0b01f39,2023-03-27T13:00:00.000Z,2023-03-29T17:00:00.000Z,65.0,Mariana Costa,3,media,Produto,Resolvido,false,2026-05-18,Lucas Castro,true,Smart TV 50 Polegadas
PROD-0048,3f488b3c-a83f-4425-9403-be631650e17e,a25bc746-0aec-43b6-b9d6-b3ee776aaf47,7732046a-8443-5c9e-847b-9a1cd8416ae0,2023-03-28T06:33:00.000Z,2023-03-31T09:33:00.000Z,36.8,Juliana Santos,5,alta,Pagamento,Resolvido,false,2026-05-18,Juliana Imperatore,true,Bateria Portátil 20000mAh
PROD-0048,969f651c-59e2-46ee-914a-7db8cdb921c5,11980573-c81c-4884-84d6-bd098c05724f,f4ece841-393c-57de-8246-317fd6ca1657,2023-03-05T02:53:00.000Z,2023-03-11T15:53:00.000Z,39.9,Rafael Oliveira,4,alta,Reembolso,Resolvido,false,2026-05-18,Larissa Vargas,true,Bateria Portátil 20000mAh
PROD-0016,d3cf6e8f-8e94-4a24-8fa2-8c2d00097aa2,8cfc37ea-a4b7-475d-8e93-763034a9e7ef,b2164443-7d78-5975-877d-0a198e1ead77,2023-03-15T13:24:00.000Z,2023-03-17T05:24:00.000Z,51.2,Ana Paula Ferreira,3,media,Reembolso,Resolvido,false,2026-05-18,Quirina Borges,true,Caixa de Som Bluetooth
PROD-0015,d0c2b298-f3be-418e-b148-5798c3855e3c,228056bf-0ebc-4734-a7d0-60871fe02eb6,5f2f5b78-a81b-543a-8cce-40f26c751136,2023-03-28T09:17:00.000Z,2023-04-02T20:17:00.000Z,141.8,Lucas Pereira,5,alta,Reembolso,Resolvido,false,2026-05-18,Tiago Juste,true,Headset Gamer
PROD-0176,9ed091b2-0c11-4bee-894b-41b54cc87dee,9dc239f3-332a-4ab7-a490-3aef45e14053,30680903-70b0-5d74-af73-8fe67f1bf618,2023-03-04T20:11:00.000Z,2023-03-06T10:11:00.000Z,120.0,Fernanda Lima,3,media,Reembolso,Resolvido,false,2026-05-18,Melissa Zanetti,true,Vela Perfumada
PROD-0427,48ca8d1f-da51-40dc-81cd-54fb7bc591af,1620898f-4d75-4f08-9abe-cc5588e0beee,6109f041-cfb7-5af6-9bad-323087d671a8,2023-03-29T08:23:00.000Z,2023-03-29T10:23:00.000Z,26.0,Mariana Costa,3,media,Entrega,Resolvido,false,2026-05-18,Lucas Duarte,true,Cozinha Infantil
PROD-0022,916ddfd0-8bdd-418b-b78d-1c368197e3b4,9c8d0cc4-2213-488e-854a-2614b7831bf2,4a4dc488-41c2-5134-b3b8-f7952c0f496c,2023-03-10T17:19:00.000Z,2023-03-10T21:19:00.000Z,33.0,Mariana Costa,5,alta,Produto,Resolvido,false,2026-05-18,Wesley Otero,true,Monitor 24 Polegadas
PROD-0182,23f2beef-4b84-40aa-b4bd-b97bc191efae,f256106f-0919-4051-b7f6-48a5e3f05e03,041e3587-7de0-50f2-ae27-081a5b4984f5,2023-03-20T15:31:00.000Z,2023-03-28T09:31:00.000Z,240.0,Gustavo Barbosa,1,baixa,Produto,Resolvido,false,2026-05-18,Danilo Valente,true,Dispenser Sabonete Líquido
PROD-0380,cb4ba7bf-e1ab-4ef6-a960-b43bbbe612f9,ba0c0e71-03fe-424e-88f9-e3bc9a49ab55,61b00d31-235b-5486-aaf3-f32c14660ecb,2023-04-19T06:43:00.000Z,2023-04-23T18:43:00.000Z,33.8,Carlos Eduardo Silva,5,alta,Entrega,Resolvido,false,2026-05-18,Guilherme Lopes,true,Quebra-cabeca 500 Pecas
,3850e12d-0a7f-4dda-ab06-ae897bc4a02d,f278d88f-917c-4bf6-acb6-3a79f04e177f,211000e5-4f41-565f-a96b-e3b2654b3337,2023-04-30T17:23:00.000Z,2023-04-30T18:23:00.000Z,53.2,Ana Paula Ferreira,3,media,Produto,Resolvido,false,2026-05-18,Ursula Valente,true,
PROD-0038,149efb99-0876-4666-896d-bcac98a49b82,b1d624f8-5fdf-44b9-af51-a20a6ce7717b,3bd48f7a-7a07-5f94-84d7-9b001696eeb4,2023-04-11T10:10:00.000Z,2023-04-15T22:10:00.000Z,7.2,Ana Paula Ferreira,4,alta,Pagamento,Resolvido,false,2026-05-18,Thiago Vargas,true,Impressora Multifuncional
,8dfc62d1-0c60-4641-b89c-62ba014fd156,18062b45-9091-4209-b80e-d27c61f1f4c5,48e9f58a-a272-5777-bca1-f87743e37341,2023-04-21T14:44:00.000Z,2023-04-28T00:44:00.000Z,57.0,Fernanda Lima,4,alta,Reembolso,Resolvido,false,2026-05-18,Isadora Batista,true,
PROD-0021,569f7825-6eaa-433d-b5bc-2b5de2279c93,a9a0c462-0174-4dbf-a083-91cd119c695e,8ddba29b-72bb-5fe1-afe8-deea4a440968,2023-04-04T09:46:00.000Z,2023-04-05T17:46:00.000Z,40.6,Rafael Oliveira,4,alta,Entrega,Resolvido,false,2026-05-18,Laura Ulhoa,true,Projetor Full HD
PROD-0004,620efce9-abd3-4227-ab79-bee87ee358e9,54f031c6-9e3f-43d0-a003-46c0f70b52a5,b59fcdf5-6f03-53f9-a3ea-ef1f9e048dbf,2023-04-10T09:20:00.000Z,2023-04-13T18:20:00.000Z,9.0,Carlos Eduardo Silva,5,alta,Entrega,Resolvido,false,2026-05-18,Julia Godoy,true,Notebook Intel Core i5
PROD-0007,ebf862f9-7dd1-450e-9a63-2f0aca85a0bb,a70b7825-b492-4432-8a13-1473a4f8e727,f93b2f16-4217-5e57-a690-4915ca821132,2023-04-27T20:59:00.000Z,2023-05-02T03:59:00.000Z,119.9,Thiago Alves,5,alta,Entrega,Resolvido,false,2026-05-18,Orlanda Horta,true,Smart TV 50 Polegadas
PROD-0234,f0bec12d-1695-4971-b61b-e7aedace0e13,018a63ab-c204-4eb9-824b-c969dcf9ed21,bc0265ef-3f41-535a-8b37-511a1b4ac742,2023-04-24T11:23:00.000Z,2023-05-02T18:23:00.000Z,23.6,Ana Paula Ferreira,4,alta,Produto,Resolvido,false,2026-05-18,Denise Souza,true,Óculos de Ciclismo
PROD-0417,99bf2854-cb45-4a5b-b81b-12ecc36acf2c,cdd5d47c-b508-4b0b-bd7c-86c566bfc473,28a92d5e-1018-5e9e-969f-5b25f8c7de3a,2023-04-09T02:09:00.000Z,2023-04-12T17:09:00.000Z,32.0,Mariana Costa,3,media,Pagamento,Resolvido,false,2026-05-18,Flavia Araújo,true,Pula Corda Infantil
PROD-0034,7e9d5bfc-6589-4098-86ad-02119d4fd1de,29056b5a-85f4-4c5c-ab4d-ebb99febadee,ddd7c1b3-13d3-549e-a2ba-9f1a2eaf5408,2023-04-16T15:05:00.000Z,2023-04-17T03:05:00.000Z,122.0,Fernanda Lima,5,alta,Reembolso,Resolvido,false,2026-05-18,Eduarda Martins,true,HD Externo 2TB
PROD-0070,245103a1-9bc5-4d8a-aaee-9a9026414334,3dd15fb9-dd99-4cb8-86b2-fac943552c66,32e39637-3c54-5a3d-b91f-6d310aa3d675,2023-04-29T10:12:00.000Z,2023-05-04T09:12:00.000Z,22.4,Ana Paula Ferreira,4,alta,Pagamento,Resolvido,false,2026-05-18,Zelia Ramos,true,Calça Social Masculina
PROD-0387,d86a2b20-53fb-42e8-8091-7513b27f0ec2,35110d5f-00ad-47c9-9368-17cd6ce01fe2,523ffc62-5627-5d46-89fe-4a94fdfa3e36,2023-04-04T03:50:00.000Z,2023-04-06T11:50:00.000Z,64.4,Leticia Cavalcanti,4,alta,Entrega,Resolvido,false,2026-05-18,Larissa Coelho,true,Kit Massinha de Modelar
PROD-0040,a305593e-635a-4572-a2eb-696b5fdce8f4,f71ca1e4-6842-42cf-ba21-6d572737ff37,27bb91e1-5388-5cbd-9c2b-c365164e371f,2023-04-02T07:46:00.000Z,2023-04-06T18:46:00.000Z,147.2,Diego Carvalho,3,media,Produto,Resolvido,false,2026-05-18,Tadeu Torres,true,Drone com Câmera
PROD-0024,868464d0-6980-4e33-81ab-4b2a1fa4c9aa,4c9bf3eb-df58-4630-82ee-be6143630050,97d48730-e97e-5765-ba20-d8afe25e44a0,2023-05-25T22:50:00.000Z,2023-06-02T14:50:00.000Z,3.6,Carlos Eduardo Silva,3,media,Pagamento,Resolvido,false,2026-05-18,Kaique Castro,true,Mouse Sem Fio
PROD-0004,bcfb3733-3f39-46a5-8bf3-068aaaa6c73a,6cf46c54-09c0-4e8e-ac5e-b63bc906b03c,bf74cfb5-3cba-5715-8c1c-48b57ef9c8c2,2023-05-26T18:11:00.000Z,2023-06-03T20:11:00.000Z,35.5,Mariana Costa,4,alta,Entrega,Resolvido,false,2026-05-18,Maria Pires,true,Notebook Intel Core i5
PROD-0016,ce1fa3bc-6f84-4ea9-8992-c9c139c02a8b,a8bfac5e-09b9-459c-b067-4b1b19816f1d,cd7cf6b4-ed51-5342-8977-e76eb04b6134,2023-05-01T21:58:00.000Z,2023-05-10T11:58:00.000Z,115.2,Juliana Santos,4,alta,Produto,Resolvido,false,2026-05-18,Iris Pires,true,Caixa de Som Bluetooth
PROD-0038,66909b61-7add-4680-8fbe-11c51b8ab0c2,d126e0e6-31dc-4971-8f41-a42bdf2ff994,e2b23c68-b764-5738-9fa7-9eb5bba9bcb2,2023-05-23T10:58:00.000Z,2023-05-23T14:58:00.000Z,110.0,Thiago Alves,5,alta,Entrega,Resolvido,false,2026-05-18,Giovani Valente,true,Impressora Multifuncional
PROD-0034,6005f104-c143-4c5a-b7f7-0aeca1bf3ff4,ad606815-adc1-4954-92c1-f9d5302428a2,0efd184a-138f-5e8f-a09f-8d5b5cfadc11,2023-05-12T00:38:00.000Z,2023-05-15T14:38:00.000Z,174.2,Bruno Rodrigues,5,alta,Produto,Resolvido,false,2026-05-18,Querinton Abreu,true,HD Externo 2TB
PROD-0497,f7fc4370-90a5-4e08-9aac-a1029f29480f,322a6c62-9b54-4a61-ba98-21072452242b,cbf8cdcc-d4fa-5273-8dcd-b84ea49d8828,2023-05-09T16:38:00.000Z,2023-05-16T01:38:00.000Z,21.5,Mariana Costa,3,media,Entrega,Resolvido,false,2026-05-18,Iris Zampieri,true,Smartphone Pro Max 512GB
PROD-0034,6005f104-c143-4c5a-b7f7-0aeca1bf3ff4,f1d40786-d3a1-496e-9729-b96061bdb0a9,aa398c37-3074-5ede-837c-030eba8faa94,2023-05-28T06:45:00.000Z,2023-06-01T01:45:00.000Z,49.5,Carlos Eduardo Silva,3,media,Entrega,Resolvido,false,2026-05-18,Amelia Guerra,true,HD Externo 2TB
PROD-0004,5bb598c4-59db-4f83-9b31-3a58b44a8055,c4fe5749-de37-4878-8aca-67b43b61d02c,68ffdae1-73c6-5172-8887-0dfbeb136ec3,2023-05-09T01:54:00.000Z,2023-05-10T21:54:00.000Z,38.2,Carlos Eduardo Silva,5,alta,Produto,Resolvido,false,2026-05-18,Daniel Horta,true,Notebook Intel Core i5
PROD-0001,93f26ff2-4cd3-4dcf-8076-33416439bd9d,2cf7c615-6aad-4e59-979a-7b6173f68e4b,bee30c18-35eb-588b-b131-f45e7a2b637e,2023-05-16T04:48:00.000Z,2023-05-25T18:48:00.000Z,35.7,Rafael Oliveira,2,baixa,Entrega,Resolvido,false,2026-05-18,Bruna Nogueira,true,Smartphone 128GB
PROD-0051,0ead8d9b-6aae-442f-a5ab-46afb986d0a4,7a18c064-7673-4fa6-a7a3-05e1ccb0b772,7b9de70c-faf6-53f6-acd5-77ff6e8a9a06,2023-06-15T14:50:00.000Z,2023-06-17T03:50:00.000Z,25.2,Ana Paula Ferreira,4,alta,Reembolso,Resolvido,false,2026-05-18,Duda Evangelista,true,Smartband Fitness
PROD-0269,6dbc5388-39cf-4076-b15f-e7ce0380092a,7ca5e1c6-1ae0-4c17-9147-ec36de01d4c3,1da6dc17-d35a-513e-9d09-c8bbde28c921,2023-06-10T15:46:00.000Z,2023-06-15T22:46:00.000Z,92.8,Juliana Santos,4,alta,Entrega,Resolvido,false,2026-05-18,Wagner Ramos,true,Escova de Cabelo Profissional
PROD-0014,e53acf31-9a75-4bd0-ab3a-49e2c3c00d78,2d7ee566-9885-4e9c-ba38-0e5bd2609ec1,bce2f48f-c9c5-5b7b-ad57-195e650002dd,2023-06-08T19:47:00.000Z,2023-06-09T02:47:00.000Z,15.8,Carlos Eduardo Silva,4,alta,Pagamento,Resolvido,false,2026-05-18,Natalia Queiroz,true,Fone de Ouvido com Fio
,f7661146-ca5b-45e4-8f65-9e669c5a18bc,5f5a20c1-2887-45a2-b8c1-ed4ff7c669b8,89660f13-3306-5cc0-8eb3-02baf7f8a1bc,2023-06-01T12:12:00.000Z,2023-06-02T07:12:00.000Z,22.8,Ana Paula Ferreira,4,alta,Reembolso,Resolvido,false,2026-05-18,Valdo Garcia,true,
PROD-0040,11ab0483-d7a4-42de-ae7f-b34d7e01afd1,0415ce40-19c9-4d0a-80ac-2afc22657214,a71b82e7-0cd1-5e7c-b997-19f20839aca6,2023-06-27T02:46:00.000Z,2023-06-30T16:46:00.000Z,37.6,Ana Paula Ferreira,3,media,Produto,Resolvido,false,2026-05-18,Cesar Yamamoto,true,Drone com Câmera
PROD-0035,f8352ebc-ace6-4a86-893a-27fa90ccc993,21a86f4f-0430-48a1-a9f1-08db61244734,55ac37b1-2a9b-5f50-b02b-1a222866ddbb,2023-06-15T08:59:00.000Z,,,Fernanda Lima,,sem_avaliacao,Pagamento,Aberto,true,2026-05-18,Viviane Andrade,true,Pen Drive 64GB
,72408a45-6de1-40d5-b110-b1d5a1798948,46a03eec-cfc6-42e1-96d1-8df25ce1b03a,51adc3d4-5a81-5bb9-bf83-b2cfbeff1f41,2023-06-13T06:59:00.000Z,2023-06-19T13:59:00.000Z,104.5,Thiago Alves,2,baixa,Entrega,Resolvido,false,2026-05-18,Penelope Alves,false,
PROD-0012,404eea12-ad0f-4218-886d-cdf03ffa6232,71c5023b-3221-43b1-8312-19fc31574e45,161f8fdb-74c1-535b-b48f-4f84e9e6ecd3,2023-06-08T01:39:00.000Z,2023-06-10T22:39:00.000Z,27.0,Fernanda Lima,1,baixa,Pagamento,Resolvido,false,2026-05-18,Flavio Lima,false,Tablet 8 Polegadas
,6a0ba90b-988c-4f8a-a9cc-9c085725129d,915f5289-1977-42c9-915b-9218055fd90a,f7fd9bae-2a1c-5f9d-a5ed-4db29377b326,2023-06-05T10:41:00.000Z,2023-06-13T01:41:00.000Z,45.5,Rafael Oliveira,5,alta,Produto,Resolvido,false,2026-05-18,Monica Viana,true,
PROD-0001,3bff4862-8b5b-41b8-82af-113b1fe84f93,180be39d-14f2-4d52-a65c-55c4d3b4b7de,a6d80c32-4064-5386-ace5-08ceb736f7fe,2023-06-21T14:24:00.000Z,2023-06-27T14:24:00.000Z,36.0,Juliana Santos,5,alta,Pagamento,Resolvido,false,2026-05-18,Juliana Ferreira,false,Smartphone 128GB
